figure_number,exhibit,paper_include_path,source_basename
1,Figure 1,results_in_paper/scatter_emission_gdp_log.png,scatter_emission_gdp_log.png
2,Figure 2,RAs/results_in_paper/gamma_secondary_vegetation.png,gamma_secondary_vegetation.png
3,Figure 3,RAs/results_in_paper/map_z2017_1043Sites.png,map_z2017_1043Sites.png
3,Figure 3,RAs/results_in_paper/map_x2017_1043Sites.png,map_x2017_1043Sites.png
4,Figure 4,RAs/results_in_paper/map_gamma_fit.png,map_gamma_fit.png
4,Figure 4,RAs/results_in_paper/map_theta_fit.png,map_theta_fit.png
5,Figure 5,RAs/results_in_paper/pred_zshare_1043_sites_det.png,pred_zshare_1043_sites_det.png
5,Figure 5,RAs/results_in_paper/plot_pred_x_1043_sites_det.png,plot_pred_x_1043_sites_det.png
6,Figure 6,RAs/results_in_paper/net_transfers.png,net_transfers.png
7,Figure 7,RAs/results_in_paper/map_z0z30GammaTheta_1043Sites_allPrices_det.png,map_z0z30GammaTheta_1043Sites_allPrices_det.png
8,Figure 8,RAs/results_in_paper/map_zDecades_1043Sites_pe21.8_det.png,map_zDecades_1043Sites_pe21.8_det.png
9,Figure 9,RAs/results_in_paper/theta_distribution_985_b0_xi_1.0.png,theta_distribution_985_b0_xi_1.0.png
9,Figure 9,RAs/results_in_paper/gamma_distribution_929_b0_xi_1.0.png,gamma_distribution_929_b0_xi_1.0.png
9,Figure 9,RAs/results_in_paper/theta_distribution_1028_b15_xi_1.0.png,theta_distribution_1028_b15_xi_1.0.png
9,Figure 9,RAs/results_in_paper/gamma_distribution_938_b15_xi_1.0.png,gamma_distribution_938_b15_xi_1.0.png
10,Figure 10,RAs/results_in_paper/decision_histogram_pehmc_6.8_pedet_6.8_xi_1.0.png,decision_histogram_pehmc_6.8_pedet_6.8_xi_1.0.png
11,Figure 11,RAs/results_in_paper/aggregate_percentage_Z_b0_pehmc_6.8_pedet_6.8_xi_1.0.png,aggregate_percentage_Z_b0_pehmc_6.8_pedet_6.8_xi_1.0.png
12,Figure 12,RAs/results_in_paper/decision_histogram_pehmc_4.8_pedet_6.8_xi_1.0.png,decision_histogram_pehmc_4.8_pedet_6.8_xi_1.0.png
12,Figure 12,RAs/results_in_paper/decision_histogram_pehmc_19.8_pedet_21.8_xi_1.0.png,decision_histogram_pehmc_19.8_pedet_21.8_xi_1.0.png
13,Figure 13,RAs/results_in_paper/aggregate_percentage_Z_b0_pehmc_4.8_pedet_6.8_xi_1.0_same_ylim.png,aggregate_percentage_Z_b0_pehmc_4.8_pedet_6.8_xi_1.0_same_ylim.png
13,Figure 13,RAs/results_in_paper/aggregate_percentage_Z_b15_pehmc_19.8_pedet_21.8_xi_1.0_same_ylim.png,aggregate_percentage_Z_b15_pehmc_19.8_pedet_21.8_xi_1.0_same_ylim.png
14,Figure 14,RAs/results_in_paper/mpc_landallocation_b_0_baseline_same_ylim.png,mpc_landallocation_b_0_adjust.png
14,Figure 14,RAs/results_in_paper/mpc_landallocation_b_15_baseline_same_ylim.png,mpc_landallocation_b_15_adjust.png
15,Figure 15,RAs/results_in_paper/pred_zshare_delta_comparison_1043_sites_det_delta_0p03.png,pred_zshare_delta_comparison_1043_sites_det_delta_0p03.png
16,Figure 16,RAs/results_in_paper/smooth_prob_uncon.png,smooth_prob_uncon.png
16,Figure 16,RAs/results_in_paper/smooth_prob_con.png,smooth_prob_con.png
17,Figure 17,RAs/results_in_paper/re_theta_b0.png,re_theta_b0.png
17,Figure 17,RAs/results_in_paper/re_gamma_b0.png,re_gamma_b0.png
17,Figure 17,RAs/results_in_paper/re_theta_b15.png,re_theta_b15.png
17,Figure 17,RAs/results_in_paper/re_gamma_b15.png,re_gamma_b15.png
18,Figure 18,RAs/results_in_paper/theta_distribution_985_b0_xi_2.0.png,theta_distribution_985_b0_xi_2.0.png
18,Figure 18,RAs/results_in_paper/gamma_distribution_929_b0_xi_2.0.png,gamma_distribution_929_b0_xi_2.0.png
18,Figure 18,RAs/results_in_paper/theta_distribution_1028_b15_xi_2.0.png,theta_distribution_1028_b15_xi_2.0.png
18,Figure 18,RAs/results_in_paper/gamma_distribution_938_b15_xi_2.0.png,gamma_distribution_938_b15_xi_2.0.png
19,Figure 19,RAs/results_in_paper/theta_distribution_985_b0_xi_0.5.png,theta_distribution_985_b0_xi_0.5.png
19,Figure 19,RAs/results_in_paper/gamma_distribution_929_b0_xi_0.5.png,gamma_distribution_929_b0_xi_0.5.png
19,Figure 19,RAs/results_in_paper/theta_distribution_1028_b15_xi_0.5.png,theta_distribution_1028_b15_xi_0.5.png
19,Figure 19,RAs/results_in_paper/gamma_distribution_938_b15_xi_0.5.png,gamma_distribution_938_b15_xi_0.5.png
20,Figure 20,RAs/results_in_paper/map_zDecades_1043Sites_pe19.8_hmc.png,map_zDecades_1043Sites_pe19.8_hmc.png
21,Figure 21,RAs/results_in_paper/map_zDecades_1043Sites_pe17.8_hmc.png,map_zDecades_1043Sites_pe17.8_hmc.png
22,Figure 22,RAs/results_in_paper/bayesian_r2_gamma_1043.png,bayesian_r2_gamma_1043.png
22,Figure 22,RAs/results_in_paper/bayesian_r2_theta_1043.png,bayesian_r2_theta_1043.png
